node_id,in_degree,out_degree,total_degree,undirected_degree
780,220,220,440,220
781,8,8,16,8
782,56,56,112,56
783,47,47,94,47
784,17,17,34,17
785,49,49,98,49
786,70,70,140,70
787,153,153,306,153
788,20,20,40,20
789,23,23,46,23
791,29,29,58,29
792,71,71,142,71
793,14,14,28,14
794,149,149,298,149
795,22,22,44,22
796,99,99,198,99
797,108,108,216,108
798,68,68,136,68
799,31,31,62,31
800,25,25,50,25
801,27,27,54,27
802,355,355,710,355
803,98,98,196,98
804,209,209,418,209
805,58,58,116,58
807,40,40,80,40
808,80,80,160,80
811,16,16,32,16
812,44,44,88,44
813,65,65,130,65
814,29,29,58,29
815,280,280,560,280
816,126,126,252,126
817,48,48,96,48
818,33,33,66,33
819,58,58,116,58
820,62,62,124,62
821,10,10,20,10
822,173,173,346,173
823,608,608,1216,608
824,125,125,250,125
825,13,13,26,13
826,6,6,12,6
827,6,6,12,6
828,103,103,206,103
829,41,41,82,41
830,87,87,174,87
833,19,19,38,19
834,9,9,18,9
835,14,14,28,14
836,42,42,84,42
837,47,47,94,47
838,37,37,74,37
839,87,87,174,87
840,6,6,12,6
841,7,7,14,7
842,127,127,254,127
844,6,6,12,6
845,57,57,114,57
847,6,6,12,6
848,6,6,12,6
850,6,6,12,6
851,494,494,988,494
852,106,106,212,106
853,66,66,132,66
854,6,6,12,6
859,60,60,120,60
860,43,43,86,43
861,90,90,180,90
862,23,23,46,23
863,63,63,126,63
864,30,30,60,30
865,75,75,150,75
866,57,57,114,57
867,19,19,38,19
868,6,6,12,6
869,67,67,134,67
870,40,40,80,40
871,75,75,150,75
872,19,19,38,19
873,58,58,116,58
874,51,51,102,51
875,107,107,214,107
876,98,98,196,98
877,6,6,12,6
878,200,200,400,200
879,75,75,150,75
880,88,88,176,88
881,14,14,28,14
882,54,54,108,54
883,25,25,50,25
884,159,159,318,159
885,66,66,132,66
886,7,7,14,7
887,158,158,316,158
888,36,36,72,36
889,180,180,360,180
890,79,79,158,79
891,52,52,104,52
892,57,57,114,57
893,270,270,540,270
894,19,19,38,19
895,42,42,84,42
896,43,43,86,43
897,36,36,72,36
898,45,45,90,45
899,23,23,46,23
900,22,22,44,22
901,25,25,50,25
903,23,23,46,23
904,118,118,236,118
905,31,31,62,31
906,37,37,74,37
907,70,70,140,70
909,13,13,26,13
910,76,76,152,76
913,198,198,396,198
914,47,47,94,47
915,358,358,716,358
916,5,5,10,5
917,65,65,130,65
918,104,104,208,104
919,85,85,170,85
920,156,156,312,156
921,8,8,16,8
922,107,107,214,107
923,87,87,174,87
924,218,218,436,218
925,252,252,504,252
926,8,8,16,8
927,16,16,32,16
928,47,47,94,47
929,229,229,458,229
930,37,37,74,37
931,15,15,30,15
932,21,21,42,21
933,28,28,56,28
934,80,80,160,80
936,72,72,144,72
937,53,53,106,53
938,6,6,12,6
939,316,316,632,316
940,76,76,152,76
941,6,6,12,6
943,48,48,96,48
945,31,31,62,31
946,67,67,134,67
948,139,139,278,139
949,97,97,194,97
950,56,56,112,56
951,38,38,76,38
952,12,12,24,12
953,7,7,14,7
954,7,7,14,7
955,7,7,14,7
956,7,7,14,7
958,61,61,122,61
959,32,32,64,32
960,112,112,224,112
966,3,3,6,3
967,46,46,92,46
969,58,58,116,58
970,14,14,28,14
971,30,30,60,30
972,30,30,60,30
973,29,29,58,29
974,23,23,46,23
975,7,7,14,7
976,11,11,22,11
977,43,43,86,43
978,11,11,22,11
979,12,12,24,12
981,9,9,18,9
982,42,42,84,42
983,19,19,38,19
984,115,115,230,115
985,31,31,62,31
988,8,8,16,8
989,36,36,72,36
990,9,9,18,9
991,19,19,38,19
992,21,21,42,21
994,12,12,24,12
995,33,33,66,33
996,8,8,16,8
997,10,10,20,10
998,10,10,20,10
999,10,10,20,10
1000,46,46,92,46
1001,13,13,26,13
1003,10,10,20,10
1004,10,10,20,10
1005,9,9,18,9
1006,6,6,12,6
1007,6,6,12,6
1008,6,6,12,6
1009,10,10,20,10
1010,14,14,28,14
1011,29,29,58,29
1013,15,15,30,15
1015,6,6,12,6
1016,51,51,102,51
1017,40,40,80,40
1018,31,31,62,31
1019,17,17,34,17
1020,14,14,28,14
1023,5,5,10,5
1025,11,11,22,11
1026,196,196,392,196
1027,142,142,284,142
1028,803,803,1606,803
1029,15,15,30,15
1030,135,135,270,135
1031,313,313,626,313
1032,154,154,308,154
1033,8,8,16,8
1034,56,56,112,56
1035,38,38,76,38
1036,144,144,288,144
1037,10,10,20,10
1038,72,72,144,72
1039,8,8,16,8
1040,119,119,238,119
1041,37,37,74,37
1042,74,74,148,74
1043,107,107,214,107
1044,105,105,210,105
1045,98,98,196,98
1046,194,194,388,194
1047,8,8,16,8
1048,128,128,256,128
1049,159,159,318,159
1050,191,191,382,191
1051,75,75,150,75
1052,64,64,128,64
1053,130,130,260,130
1054,31,31,62,31
1055,70,70,140,70
1056,97,97,194,97
1057,92,92,184,92
1058,46,46,92,46
1059,44,44,88,44
1060,90,90,180,90
1061,304,304,608,304
1063,82,82,164,82
1064,11,11,22,11
1068,139,139,278,139
1069,129,129,258,129
1070,132,132,264,132
1071,150,150,300,150
1072,106,106,212,106
1073,78,78,156,78
1074,78,78,156,78
1075,65,65,130,65
1076,242,242,484,242
1077,234,234,468,234
1078,34,34,68,34
1079,50,50,100,50
1080,63,63,126,63
1081,48,48,96,48
1082,64,64,128,64
1083,77,77,154,77
1084,209,209,418,209
1085,21,21,42,21
1086,75,75,150,75
1087,116,116,232,116
1088,64,64,128,64
1089,21,21,42,21
1090,75,75,150,75
1091,48,48,96,48
1092,33,33,66,33
1093,54,54,108,54
1094,134,134,268,134
1095,252,252,504,252
1096,68,68,136,68
1097,105,105,210,105
1098,27,27,54,27
1099,48,48,96,48
1100,6,6,12,6
1101,115,115,230,115
1102,74,74,148,74
1103,106,106,212,106
1104,146,146,292,146
1105,58,58,116,58
1106,36,36,72,36
1107,29,29,58,29
1108,96,96,192,96
1109,25,25,50,25
1110,92,92,184,92
1111,139,139,278,139
1112,45,45,90,45
1113,46,46,92,46
1114,110,110,220,110
1115,47,47,94,47
1116,46,46,92,46
1117,38,38,76,38
1118,161,161,322,161
1119,21,21,42,21
1120,56,56,112,56
1121,49,49,98,49
1122,129,129,258,129
1123,5,5,10,5
1125,22,22,44,22
1126,39,39,78,39
1127,96,96,192,96
1128,48,48,96,48
1129,32,32,64,32
1130,53,53,106,53
1131,6,6,12,6
1132,73,73,146,73
1133,30,30,60,30
1134,15,15,30,15
1135,15,15,30,15
1136,10,10,20,10
1137,207,207,414,207
1138,210,210,420,210
1139,690,690,1380,690
1140,72,72,144,72
1141,79,79,158,79
1142,50,50,100,50
1143,70,70,140,70
1144,32,32,64,32
1145,108,108,216,108
1146,77,77,154,77
1147,64,64,128,64
1148,48,48,96,48
1149,17,17,34,17
1150,10,10,20,10
1151,19,19,38,19
1152,60,60,120,60
1153,35,35,70,35
1154,90,90,180,90
1155,8,8,16,8
1156,8,8,16,8
1157,8,8,16,8
1158,76,76,152,76
1159,80,80,160,80
1160,27,27,54,27
1161,168,168,336,168
1162,167,167,334,167
1163,59,59,118,59
1164,72,72,144,72
1165,81,81,162,81
1166,48,48,96,48
1167,50,50,100,50
1168,130,130,260,130
1169,39,39,78,39
1170,85,85,170,85
1171,84,84,168,84
1172,21,21,42,21
1173,32,32,64,32
1174,54,54,108,54
1175,22,22,44,22
1176,82,82,164,82
1177,41,41,82,41
1178,54,54,108,54
1179,93,93,186,93
